user_id,journey_id,fim
558873,384,2023-02-07 18:22:19.556729
558873,391,2023-02-07 18:22:12.856014
558873,386,2023-02-07 18:45:15.391133
558873,387,2023-02-07 20:17:54.278400
558873,392,2023-02-07 20:36:38.943391
559051,86,2022-09-27 17:42:59.626583
560385,317,2023-02-07 18:54:27.828749
560385,401,2023-02-07 18:54:25.338988
560385,338,2023-02-07 19:07:50.845231
561414,410,2023-02-07 19:20:08.224915
561501,86,2022-07-26 15:31:21.356977
561501,391,2023-02-07 19:22:05.468962
561501,384,2023-02-07 19:22:07.777851
561501,386,2023-02-07 19:37:33.899920
563872,637,2023-03-23 15:35:05.076541
563872,638,2023-03-23 15:35:34.351677
563872,634,2023-03-23 15:35:56.709908
563872,86,2022-01-25 21:54:44.254434
563872,557,2022-01-25 21:57:05.984366
563995,469,2023-02-18 02:13:32.780235
563995,459,2023-02-18 02:11:53.036009
563995,517,2022-01-17 20:20:56.441756
563995,557,2022-02-03 03:22:53.911477
563995,556,2022-02-03 23:48:56.193678
563995,559,2022-02-03 03:23:32.861489
563995,639,2022-06-07 20:56:16.061424
563995,640,2022-06-07 21:10:49.376480
563995,599,2022-06-07 21:29:40.728614
563995,458,2023-02-18 02:11:30.446472
563995,682,2023-03-23 19:54:17.998329
563995,681,2023-03-23 19:54:11.786799
563995,391,2023-02-07 20:20:10.787923
563995,751,2023-03-24 14:32:46.052423
565185,747,2023-03-24 14:10:31.744505
