id,name
303964,Produção / Operações
303964,Logistica / Supply Chain
1075433,Tecnologia
480636,Engenharia
500186,Engenharia
500186,Tecnologia
500186,Produção / Operações
1050134,Comercial / Vendas
1050134,Administrativo
1050134,Marketing / Comunicação
1050134,Finanças / Contabilidade
1050134,Logistica / Supply Chain
1089337,RH
1013575,RH
1013575,Saúde
393486,Engenharia
393486,Produção / Operações
393486,Logistica / Supply Chain
608283,Engenharia
608283,Tecnologia
608283,Finanças / Contabilidade
480636,Tecnologia
1012694,Saúde
1012694,Administrativo
1012694,Marketing / Comunicação
608283,Logistica / Supply Chain
328548,Tecnologia
328505,Tecnologia
503439,Tecnologia
503439,Saúde
503439,Finanças / Contabilidade
292238,Comercial / Vendas
501748,Tecnologia
501748,Produção / Operações
1089337,Administrativo
491761,RH
491761,Administrativo
491761,Produção / Operações
1090613,RH
1090613,Administrativo
1086178,Tecnologia
1012708,Engenharia
1012708,Finanças / Contabilidade
1012708,Produção / Operações
1086194,RH
1086194,Administrativo
1086194,Finanças / Contabilidade
1086194,Logistica / Supply Chain
1080849,Tecnologia
1080849,Saúde
1080849,Produção / Operações
371673,Comercial / Vendas
371673,Marketing / Comunicação
371673,Produção / Operações
371673,Logistica / Supply Chain
372329,Marketing / Comunicação
372329,Produção / Operações
1086243,Comercial / Vendas
1086243,Administrativo
1086243,Marketing / Comunicação
1086243,Logistica / Supply Chain
292675,Comercial / Vendas
292675,Marketing / Comunicação
292675,Tecnologia
292675,RH
291040,Comercial / Vendas
291040,RH
1086219,Comercial / Vendas
477749,Marketing / Comunicação
1086219,Engenharia
1086219,Tecnologia
1086219,Produção / Operações
293008,Comercial / Vendas
293008,Marketing / Comunicação
293008,Tecnologia
293008,RH
1066245,Marketing / Comunicação
491828,Comercial / Vendas
491828,Tecnologia
491828,RH
491828,Produção / Operações
1097072,Comercial / Vendas
1097072,Tecnologia
1097072,Marketing / Comunicação
503359,Administrativo
503359,Produção / Operações
503359,Logistica / Supply Chain
439387,Marketing / Comunicação
1047990,Marketing / Comunicação
293636,Comercial / Vendas
293636,RH
1045016,RH
1045016,Administrativo
1045016,Marketing / Comunicação
576361,Comercial / Vendas
576361,Administrativo
576361,Finanças / Contabilidade
375989,Comercial / Vendas
375989,Tecnologia
375989,RH
375989,Saúde
375989,Administrativo
375989,Marketing / Comunicação
375989,Finanças / Contabilidade
375989,Produção / Operações
375989,Logistica / Supply Chain
376265,Comercial / Vendas
376265,Administrativo
376265,Finanças / Contabilidade
597600,Tecnologia
597600,Marketing / Comunicação
478664,Marketing / Comunicação
231580,Comercial / Vendas
231580,Engenharia
231580,Marketing / Comunicação
231580,Produção / Operações
231580,Logistica / Supply Chain
481710,Engenharia
481710,Tecnologia
481710,Finanças / Contabilidade
377095,Jurídico
377095,Marketing / Comunicação
1070848,Engenharia
1070848,Saúde
1070848,Produção / Operações
292736,Marketing / Comunicação
503953,Finanças / Contabilidade
377124,Comercial / Vendas
377124,Administrativo
887596,Tecnologia
887596,Saúde
887596,Produção / Operações
1086305,Engenharia
329976,Comercial / Vendas
329976,Marketing / Comunicação
329976,Tecnologia
528907,Engenharia
528907,Produção / Operações
1086369,Comercial / Vendas
1086369,Engenharia
1086369,Administrativo
1086369,Marketing / Comunicação
1086369,Finanças / Contabilidade
1086369,Produção / Operações
1086369,Logistica / Supply Chain
296210,RH
1085585,Engenharia
1085585,Tecnologia
1012753,RH
1012753,Marketing / Comunicação
492310,Comercial / Vendas
492310,Administrativo
492310,Marketing / Comunicação
492310,Produção / Operações
1090778,Comercial / Vendas
1090778,RH
1090778,Administrativo
1090778,Produção / Operações
1021347,Comercial / Vendas
1021347,Engenharia
1021347,Administrativo
1021347,Produção / Operações
1021347,Logistica / Supply Chain
387387,Saúde
387387,Produção / Operações
387387,Logistica / Supply Chain
1082864,Administrativo
1082864,Marketing / Comunicação
1090806,Engenharia
1089128,RH
1081133,Engenharia
382392,Comercial / Vendas
382392,Marketing / Comunicação
382392,Produção / Operações
1086555,Comercial / Vendas
1086555,Engenharia
1086555,Produção / Operações
1028264,Marketing / Comunicação
1119552,Tecnologia
481990,Tecnologia
481990,Saúde
481990,Administrativo
481990,Produção / Operações
384965,Saúde
384965,Administrativo
384965,Marketing / Comunicação
1086597,Engenharia
1085401,Engenharia
1085401,Tecnologia
1085401,Administrativo
1085401,Produção / Operações
1085401,Logistica / Supply Chain
668901,Engenharia
1086570,Engenharia
1086590,Comercial / Vendas
1086590,Administrativo
364762,Comercial / Vendas
364762,RH
364762,Marketing / Comunicação
364762,Produção / Operações
1065211,Comercial / Vendas
1065211,Administrativo
1065211,Marketing / Comunicação
1065211,Finanças / Contabilidade
1065211,Logistica / Supply Chain
491566,Comercial / Vendas
491566,Administrativo
491566,Finanças / Contabilidade
395738,Tecnologia
395738,Administrativo
